task_name,reconstruction_type,seed,lora_r,start_time,name,state,id,map_metrics/eval_comb_calib_score,map_metrics/eval_nll,map_metrics/eval_mcc,map_metrics/epoch,map_metrics/train_ece,map_metrics/eval_brier,map_metrics/eval_comb_score,map_metrics/eval_ece,map_metrics/eval_loss,map_metrics/lr,map_metrics/train_acc,map_metrics/train_loss,map_metrics/train_nll,map_metrics/eval_acc,laplace_LORAXS_KRON/test_ece,laplace_LORAXS_KRON/eval_comb_score,laplace_LORAXS_KRON/eval_comb_calib_score,laplace_LORAXS_KRON/eval_acc,laplace_LORAXS_KRON/epoch,laplace_LORAXS_KRON/test_comb_calib_score,laplace_LORAXS_KRON/test_nll,laplace_LORAXS_KRON/prior_precision,laplace_LORAXS_KRON/eval_ece,laplace_LORAXS_KRON/test_acc,laplace_LORAXS_KRON/name,laplace_LORAXS_KRON/test_comb_score,laplace_LORAXS_KRON/eval_nll,laplace_LORAXS_KRON/nl_marglik,laplace_LORAXS_DIAG/test_comb_calib_score,laplace_LORAXS_DIAG/prior_precision,laplace_LORAXS_DIAG/epoch,laplace_LORAXS_DIAG/test_ece,laplace_LORAXS_DIAG/eval_nll,laplace_LORAXS_DIAG/name,laplace_LORAXS_DIAG/test_acc,laplace_LORAXS_DIAG/eval_acc,laplace_LORAXS_DIAG/test_nll,laplace_LORAXS_DIAG/eval_ece,laplace_LORAXS_DIAG/eval_comb_score,laplace_LORAXS_DIAG/eval_comb_calib_score,laplace_LORAXS_DIAG/nl_marglik,laplace_LORAXS_DIAG/test_comb_score,laplace/base_test_nll,laplace/base_epoch,laplace/base_test_ece,laplace/base_eval_nll,laplace/base_eval_comb_score,laplace/base_eval_acc,laplace/base_eval_loss,laplace/base_eval_mcc,laplace/base_test_loss,laplace/base_test_comb_calib_score,laplace/base_test_acc,laplace/base_test_comb_score,laplace/base_eval_brier,laplace/base_test_brier,laplace/base_test_mcc,laplace/base_eval_comb_calib_score,laplace/base_eval_ece,best_eval_epoch,current_eval_epoch
cola,random-1/2_svd,3407,8,2026-01-15T08:14:57.646335Z,eap_8_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_random-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3d4hylka,0.5515387654304504,0.462001234292984,0.5532122564572604,11.0,0.061568898320156246,0.2797110378742218,-3.631958484649658,0.08953751807930599,0.46450095140296993,0.0032601235415236785,0.7980353175067244,0.4849590472321012,0.48530617356300354,0.8187919463087249,0.07550460071600294,-0.31041017174720764,0.5083817839622498,0.8187919855117798,11.0,0.5085426568984985,0.43303805589675903,34.8492317199707,0.07539057028716499,0.8187919855117798,checkpoint_best_eval_mcc-11_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.31024932861328125,0.43299123644828796,5081.478515625,0.49544262886047363,36.64946746826172,11.0,0.06802655163570195,0.4275320768356323,checkpoint_best_eval_mcc-11_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8197507262229919,0.8187919855117798,0.4274160861968994,0.0683132500342189,-0.3229466676712036,0.49584531784057617,5027.2939453125,-0.3243080973625183,0.462001234292984,11.0,0.08953751807930599,0.462001234292984,-3.631958484649658,0.8187919463087249,0.46450095140296993,0.5532122564572604,0.46450095140296993,0.5515387654304504,0.8187919463087249,-3.631958484649658,0.2797110378742218,0.2797110378742218,0.5532122564572604,0.5515387654304504,0.08953751807930599,11.0,11.0
cola,cca,3407,8,2026-01-15T08:14:57.624231Z,eap_3_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_cca_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3m387myh,0.4566195011138916,0.39000797271728516,0.6528715835800886,25.0,0.015761372227792003,0.23413237929344177,-3.8957061767578125,0.06661153971177391,0.39453008520694177,0.0008579272477693892,0.8584960823295521,0.3351817344551656,0.3355567455291748,0.8571428571428571,0.05587033000225532,-0.4373185634613037,0.4198243021965027,0.8571428656578064,25.0,0.41976025700569153,0.3638899326324463,62.76158905029297,0.0558751447203061,0.8571428656578064,checkpoint-25_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.43738260865211487,0.36394914984703064,4630.65625,0.41057372093200684,59.265586853027344,25.0,0.05127497195968921,0.35930511355400085,checkpoint-25_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8571428656578064,0.8571428656578064,0.3592987656593323,0.05075933869253069,-0.4470784068107605,0.4100644588470459,4296.275390625,-0.44656914472579956,0.39000797271728516,25.0,0.06661153971177391,0.39000797271728516,-3.8957061767578125,0.8571428571428571,0.39453008520694177,0.6528715835800886,0.39453008520694177,0.4566195011138916,0.8571428571428571,-3.8957061767578125,0.23413237929344177,0.23413237929344177,0.6528715835800886,0.4566195011138916,0.06661153971177391,25.0,25.0
cola,dct,3407,8,2026-01-15T08:14:57.607006Z,eap_1_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3u5v63gu,0.49641484022140503,0.4507036805152893,0.5155338105766099,14.0,0.0551845767932696,0.2899516224861145,-3.576141834259033,0.04571114953389447,0.4525959509929628,0.0027453671928620448,0.7613144661443106,0.5286557781162546,0.5286111831665039,0.8053691275167785,0.042868557163761534,-0.31218189001083374,0.4931872487068176,0.8053691387176514,14.0,0.49314388632774353,0.45027533173561096,2.5313451290130615,0.042885672326055946,0.8053691387176514,checkpoint_best_eval_mcc-14_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.31222525238990784,0.4503015875816345,4061.654296875,0.4893951416015625,5.994513988494873,14.0,0.03945188725783293,0.4499126672744751,checkpoint_best_eval_mcc-14_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8053691387176514,0.8053691387176514,0.4499432444572449,0.04068521250928694,-0.31477126479148865,0.4905978739261627,4569.25,-0.31597399711608887,0.4507036805152893,14.0,0.04571114953389447,0.4507036805152893,-3.576141834259033,0.8053691275167785,0.4525959509929628,0.5155338105766099,0.4525959509929628,0.49641484022140503,0.8053691275167785,-3.576141834259033,0.2899516224861145,0.2899516224861145,0.5155338105766099,0.49641484022140503,0.04571114953389447,14.0,14.0
cola,finder-1/2_svd,3407,8,2026-01-15T08:14:57.610148Z,eap_6_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_finder-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/64k9y24j,0.43796873092651367,0.39908885955810547,0.5983675278394723,13.0,0.04110181627880271,0.24470087885856628,-3.7571911811828613,0.03887988419797939,0.4019808587227159,0.002916952642415923,0.8140568354578412,0.435234240631559,0.4349236786365509,0.8312559923298178,0.02534591182994934,-0.41638806462287903,0.41486796736717224,0.8312560319900513,13.0,0.4152251183986664,0.3898791968822479,35.22252655029297,0.02497048537431719,0.8312560319900513,checkpoint_best_eval_mcc-13_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.4160309135913849,0.38989749550819397,4877.7001953125,0.41705358028411865,40.097328186035156,13.0,0.027702890243649136,0.3893786668777466,checkpoint_best_eval_mcc-13_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8312560319900513,0.8312560319900513,0.38935068249702454,0.02641387716692909,-0.41546347737312317,0.4157925546169281,4942.369140625,-0.4142024517059326,0.39908885955810547,13.0,0.03887988419797939,0.39908885955810547,-3.7571911811828613,0.8312559923298178,0.4019808587227159,0.5983675278394723,0.4019808587227159,0.43796873092651367,0.8312559923298178,-3.7571911811828613,0.24470087885856628,0.24470087885856628,0.5983675278394723,0.43796873092651367,0.03887988419797939,13.0,13.0
cola,dct-1/2_svd,3407,8,2026-01-15T08:14:57.607134Z,eap_2_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/h7djjnr4,0.4779658913612366,0.42202895879745483,0.6086586338707684,15.0,0.035615464847361944,0.25723403692245483,-3.7534265518188477,0.0559369378213343,0.42570387862110864,0.0025737817433081674,0.8172143608934628,0.4165291857363573,0.4143120348453522,0.835091083413231,0.034591102074342406,-0.40315085649490356,0.4319402575492859,0.8350911140441895,15.0,0.4318968653678894,0.39730575680732727,32.60292434692383,0.03459153987988758,0.8350911140441895,checkpoint-15_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.40319424867630005,0.39734870195388794,4916.29296875,0.42867299914360046,36.79196548461914,15.0,0.034517130995756824,0.3940998613834381,checkpoint-15_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8341323137283325,0.8341323137283325,0.3941558599472046,0.036526927269088,-0.4035055339336395,0.430626779794693,4932.06103515625,-0.40545931458473206,0.42202895879745483,15.0,0.0559369378213343,0.42202895879745483,-3.7534265518188477,0.835091083413231,0.42570387862110864,0.6086586338707684,0.42570387862110864,0.4779658913612366,0.835091083413231,-3.7534265518188477,0.25723403692245483,0.25723403692245483,0.6086586338707684,0.4779658913612366,0.0559369378213343,15.0,15.0
cola,random,3407,8,2026-01-15T08:14:57.607778Z,eap_7_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_random_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/k67fetwl,0.634263277053833,0.5257471203804016,0.4691908650029954,8.0,0.08779669504335172,0.34273868799209595,-3.4052212238311768,0.10851617987523944,0.5264224569306118,0.0037748798901853123,0.6968775581803298,0.6446049248994287,0.6452747583389282,0.7861936720997124,0.11000416159972705,-0.14980417490005493,0.6363894939422607,0.7861936688423157,8.0,0.6364364624023438,0.5264322757720947,1.2468080520629883,0.10998522686706866,0.7861936688423157,checkpoint_best_eval_mcc-8_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.1497572362422943,0.5264042615890503,4509.884765625,0.6381332278251648,1.4600012302398682,8.0,0.11119842466434833,0.5269483923912048,checkpoint_best_eval_mcc-8_LORAXS_DIAG_MC_st_2000_lr_0.1,0.7861936688423157,0.7861936688423157,0.526934802532196,0.11090519204235717,-0.14834007620811462,0.6378535628318787,4521.8896484375,-0.14806044101715088,0.5257471203804016,8.0,0.10851617987523944,0.5257471203804016,-3.4052212238311768,0.7861936720997124,0.5264224569306118,0.4691908650029954,0.5264224569306118,0.634263277053833,0.7861936720997124,-3.4052212238311768,0.34273868799209595,0.34273868799209595,0.4691908650029954,0.634263277053833,0.10851617987523944,8.0,8.0
cola,svd,3407,8,2026-01-15T08:14:57.612671Z,eap_9_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/my2631ul,0.608689546585083,0.5031576752662659,0.5782054486858687,19.0,0.027339965143394446,0.2875542640686035,-3.6387405395507812,0.10553187280464721,0.5093296429583134,0.0018874399450926561,0.8127704362062916,0.420576294856285,0.4194604456424713,0.8283796740172579,0.08608313094849555,-0.28424787521362305,0.5441318154335022,0.8283796906471252,19.0,0.5440917015075684,0.4580085873603821,67.17153930664062,0.08611755305945816,0.8283796906471252,checkpoint_best_eval_mcc-19_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.2842879891395569,0.45801424980163574,6609.18408203125,0.535464346408844,82.5175552368164,19.0,0.08328312395403048,0.45226097106933594,checkpoint_best_eval_mcc-19_LORAXS_DIAG_MC_st_2000_lr_0.1,0.8283796906471252,0.8283796906471252,0.45218122005462646,0.08329031325712413,-0.29282841086387634,0.5355513095855713,7393.7158203125,-0.29291534423828125,0.5031576752662659,19.0,0.10553187280464721,0.5031576752662659,-3.6387405395507812,0.8283796740172579,0.5093296429583134,0.5782054486858687,0.5093296429583134,0.608689546585083,0.8283796740172579,-3.6387405395507812,0.2875542640686035,0.2875542640686035,0.5782054486858687,0.608689546585083,0.10553187280464721,19.0,19.0
cola,cca-1/2_svd,3407,8,2026-01-15T08:14:57.630382Z,eap_4_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_cca-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/opb8f1p6,0.5182764530181885,0.4731680154800415,0.48619808695768324,0.0,0.03425968759813555,0.30529046058654785,-3.5009450912475586,0.045108439138271665,0.4748073024604157,0.0026881720430107533,0.709039878376798,0.5912260938046584,0.591592013835907,0.7948226270373921,0.04366392371524215,-0.2797955870628357,0.5150270462036133,0.794822633266449,0.0,0.514076292514801,0.47041234374046326,1683.2625732421875,0.04462139427033275,0.7938638925552368,checkpoint_best_eval_mcc-0_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.2797876298427582,0.4704056680202484,5445.75341796875,0.5171871781349182,2186.5986328125,0.0,0.04758386409636997,0.4695639908313751,checkpoint_best_eval_mcc-0_LORAXS_DIAG_MC_st_2000_lr_0.1,0.794822633266449,0.794822633266449,0.4696033298969269,0.04634503155861011,-0.27891361713409424,0.5159090161323547,5771.349609375,-0.27763545513153076,0.4731680154800415,0.0,0.045108439138271665,0.4731680154800415,-3.5009450912475586,0.7948226270373921,0.4748073024604157,0.48619808695768324,0.4748073024604157,0.5182764530181885,0.7948226270373921,-3.5009450912475586,0.30529046058654785,0.30529046058654785,0.48619808695768324,0.5182764530181885,0.045108439138271665,0.0,0.0
cola,finder,3407,8,2026-01-15T08:14:57.607247Z,eap_5_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_finder_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,failed,gmum/bloraxs2/q5ol3cez,0.47618567943573,0.43310970067977905,0.5630503013648505,17.0,0.04168298248379792,0.2705272138118744,-3.6608500480651855,0.04307596995526512,0.435172219312828,0.0022306108442004115,0.7797918372120219,0.4867847499562733,0.4864408075809479,0.8187919463087249,0.03942053144295858,-0.3491448760032654,0.4696471095085144,0.8187919855117798,17.0,0.4707092046737671,0.4312886893749237,2.477153778076172,0.038365424479414156,0.8187919855117798,checkpoint_best_eval_mcc-17_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.3480827808380127,0.4312816858291626,4253.591796875,,,,,,,,,,,,,,,0.43310970067977905,17.0,0.04307596995526512,0.43310970067977905,-3.6608500480651855,0.8187919463087249,0.435172219312828,0.5630503013648505,0.435172219312828,0.47618567943573,0.8187919463087249,-3.6608500480651855,0.2705272138118744,0.2705272138118744,0.5630503013648505,0.47618567943573,0.04307596995526512,17.0,17.0
cola,dct,111,8,2026-01-15T08:15:50.663360Z,eap2_1_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct_SEED_111 roberta-large_cola_loraxs_seed111_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/knc9j3rg,0.5100481510162354,0.4705263376235962,0.5166365376438252,16.0,0.04518000873372284,0.2981729209423065,-3.498793125152588,0.039521840766200855,0.4718524554303584,0.0024021962937542897,0.7731259501812654,0.4923493684227787,0.4927009642124176,0.7938638542665388,0.03497590760370915,-0.28992563486099243,0.5039382576942444,0.7938638925552368,16.0,0.5038448572158813,0.4688689410686493,2.0249807834625244,0.0349886904855474,0.7938638925552368,checkpoint_best_eval_mcc-16_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,-0.29001903533935547,0.468949556350708,4151.4375,0.514803409576416,4.316953659057617,16.0,0.04541476295184083,0.46934062242507935,checkpoint_best_eval_mcc-16_LORAXS_DIAG_MC_st_2000_lr_0.1,0.7938638925552368,0.7938638925552368,0.4693886339664459,0.0441524293827302,-0.280370831489563,0.5134930610656738,4502.23828125,-0.2790604829788208,0.4705263376235962,16.0,0.039521840766200855,0.4705263376235962,-3.498793125152588,0.7938638542665388,0.4718524554303584,0.5166365376438252,0.4718524554303584,0.5100481510162354,0.7938638542665388,-3.498793125152588,0.2981729209423065,0.2981729209423065,0.5166365376438252,0.5100481510162354,0.039521840766200855,16.0,16.0
