task_name,reconstruction_type,seed,lora_r,start_time,name,state,id,map_metrics/eval_nll,map_metrics/eval_mcc,map_metrics/train_ece,map_metrics/eval_loss,map_metrics/eval_acc,map_metrics/eval_comb_score,map_metrics/eval_ece,map_metrics/lr,map_metrics/train_nll,map_metrics/train_loss,map_metrics/epoch,map_metrics/eval_brier,map_metrics/train_acc,map_metrics/eval_comb_calib_score,laplace_LORAXS_KRON/eval_ece,laplace_LORAXS_KRON/eval_comb_score,laplace_LORAXS_KRON/test_acc,laplace_LORAXS_KRON/eval_comb_calib_score,laplace_LORAXS_KRON/test_comb_score,laplace_LORAXS_KRON/test_nll,laplace_LORAXS_KRON/eval_nll,laplace_LORAXS_KRON/test_comb_calib_score,laplace_LORAXS_KRON/name,laplace_LORAXS_KRON/eval_acc,laplace_LORAXS_KRON/prior_precision,laplace_LORAXS_KRON/nl_marglik,laplace_LORAXS_KRON/epoch,laplace_LORAXS_KRON/test_ece,laplace_LORAXS_DIAG/test_comb_calib_score,laplace_LORAXS_DIAG/eval_nll,laplace_LORAXS_DIAG/prior_precision,laplace_LORAXS_DIAG/eval_ece,laplace_LORAXS_DIAG/epoch,laplace_LORAXS_DIAG/eval_acc,laplace_LORAXS_DIAG/test_ece,laplace_LORAXS_DIAG/test_acc,laplace_LORAXS_DIAG/test_nll,laplace_LORAXS_DIAG/nl_marglik,laplace_LORAXS_DIAG/name,laplace_LORAXS_DIAG/eval_comb_calib_score,laplace_LORAXS_DIAG/test_comb_score,laplace_LORAXS_DIAG/eval_comb_score,laplace/base_eval_loss,laplace/base_test_acc,laplace/base_test_brier,laplace/base_epoch,laplace/base_eval_brier,laplace/base_eval_ece,laplace/base_test_mcc,laplace/base_test_loss,laplace/base_eval_nll,laplace/base_test_comb_calib_score,laplace/base_eval_comb_calib_score,laplace/base_eval_mcc,laplace/base_test_nll,laplace/base_eval_acc,laplace/base_eval_comb_score,laplace/base_test_comb_score,laplace/base_test_ece
arc-c,dct,111,64,,eaparcc_1_20260319_llama_arcc_LORA_R_64_RECONSTRUCT_TYPE_dct_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/igwnyyxo,1.3728032112121582,0.1558765853804059,0.06957889446320016,1.3753668295370567,0.3728813559322034,-0.4916036128997803,0.11267946726184781,0.0,1.370605230331421,1.3713018144880023,5.0,0.7400867342948914,0.3205013428827216,1.4854826927185059,0.11046007164454054,1.0966010093688965,0.3613733947277069,1.4660924673080444,1.091241717338562,1.3301026821136475,1.3556324243545532,1.4526151418685913,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.3694915175437927,0.5941072702407837,1895.627685546875,5.0,0.12251241979680857,1.4388209581375122,1.3477940559387207,0.3735107481479645,0.09946824524362209,5.0,0.3694915175437927,0.11619464087383942,0.3605150282382965,1.3226263523101807,1734.3402099609375,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.4472622871398926,1.078305959701538,1.0777708292007446,1.3753668295370567,0.3587982832618026,0.7205944061279297,5.0,0.7400867342948914,0.11267946726184781,0.14163338288819222,1.3480983622896119,1.3728032112121582,1.483784794807434,1.4854826927185059,0.1558765853804059,1.34743332862854,0.3728813559322034,-0.4916036128997803,-0.4465581178665161,0.13635150464051785
arc-c,dct,111,32,,eaparcc_2_20260319_llama_arcc_LORA_R_32_RECONSTRUCT_TYPE_dct_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/mvoar27s,1.4641826152801514,0.14833108166485492,0.12298999798810151,1.4699431754447319,0.36610169491525424,-0.36632585525512695,0.15864802270622577,0.0,1.450708270072937,1.4508091517857142,5.0,0.7769091725349426,0.288272157564906,1.6228306293487549,0.155158415967125,1.2286397218704224,0.3493562340736389,1.5913515090942383,1.2232956886291504,1.4004976749420166,1.4361931085586548,1.5726518630981445,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.3627118468284607,0.6394814848899841,1819.199462890625,5.0,0.17215413800380774,1.562799334526062,1.4290900230407715,0.5107656717300415,0.1558540482137163,5.0,0.3627118468284607,0.16908514186292248,0.3484978675842285,1.393714189529419,1748.80712890625,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.5849440097808838,1.2143014669418335,1.2222321033477783,1.4699431754447319,0.35107296137339056,0.7496189475059509,5.0,0.7769091725349426,0.15864802270622577,0.1302201891976403,1.4281951223801994,1.4641826152801514,1.6105982065200806,1.6228306293487549,0.14833108166485492,1.4273442029953003,0.36610169491525424,-0.36632585525512695,-0.3280205726623535,0.18325401999919713
arc-c,cca,111,64,,eaparcc_3_20260319_llama_arcc_LORA_R_64_RECONSTRUCT_TYPE_cca_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/h4p598rk,1.4882338047027588,0.4578866396436059,0.02910358031199463,1.4882479487238705,0.5932203389830508,-1.477867841720581,0.24737930403927627,0.0,0.2938317060470581,0.29313556126185825,5.0,0.633434534072876,0.9104744852282901,1.7356131076812744,0.0571211389565872,0.4584551751613617,0.6240343451499939,1.05167555809021,0.38077646493911743,0.9569017291069031,0.9945544004440308,1.0048108100891113,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.5932203531265259,38.83407211303711,4835.61767578125,5.0,0.04790907537988327,1.0429846048355103,0.9995030164718628,32.46734619140625,0.07224851058701338,5.0,0.5864406824111938,0.07470213146680414,0.6180257797241211,0.9682824611663818,3747.25439453125,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.0717514753341675,0.42495882511138916,0.4853108525276184,1.4882479487238705,0.6240343347639485,0.5846419334411621,5.0,0.633434534072876,0.24737930403927627,0.4977191188635137,1.3527448860286235,1.4882338047027588,1.577441692352295,1.7356131076812744,0.4578866396436059,1.351199984550476,0.5932203389830508,-1.477867841720581,-1.7689718008041382,0.2262416602204286
arc-c,cca,111,32,,eaparcc_4_20260319_llama_arcc_LORA_R_32_RECONSTRUCT_TYPE_cca_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/qnefm1p0,1.2434718608856201,0.4475356709761458,0.038293200565857236,1.2404610917374894,0.5864406779661017,-1.6887314319610596,0.1920722774024737,0.0,0.4905131459236145,0.4905590602329799,5.0,0.5895711183547974,0.8254252461951657,1.4355441331863403,0.07337015139854561,0.45336204767227173,0.6154506802558899,1.0533620119094849,0.3806716501712799,0.9613215327262878,0.9799918532371521,0.9961223602294922,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.5999999642372131,145.3858184814453,4085.835205078125,5.0,0.03480080836832267,1.0147932767868042,0.9793553948402405,127.20335388183594,0.06581471855357544,5.0,0.5966101884841919,0.05185254048636032,0.6163090467453003,0.9629406929016113,3353.669189453125,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.0451700687408447,0.39848417043685913,0.4485599398612976,1.2404610917374894,0.6137339055793991,0.5670385360717773,5.0,0.5895711183547974,0.1920722774024737,0.4842799960097624,1.1973626740391832,1.2434718608856201,1.3741337060928345,1.4355441331863403,0.4475356709761458,1.1942545175552368,0.5864406779661017,-1.6887314319610596,-1.8744150400161743,0.17987921350503686
arc-c,random,111,64,,eaparcc_5_20260319_llama_arcc_LORA_R_64_RECONSTRUCT_TYPE_random_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/aq471ito,1.4336373805999756,0.14840607420417348,0.09887615582616391,1.4382295350770693,0.36610169491525424,-0.39687108993530273,0.15077920869245368,0.0,1.416047215461731,1.415384020124163,5.0,0.7675707936286926,0.2954341987466428,1.5844166278839111,0.15061751806129842,1.2021163702011108,0.3450643718242645,1.5749977827072144,1.2190876007080078,1.3925145864486694,1.4243803024291992,1.5641520023345947,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.37288135290145874,0.39500513672828674,1950.86083984375,5.0,0.171637359376629,1.5427308082580566,1.4119038581848145,0.18540769815444946,0.1405696908296165,5.0,0.37288135290145874,0.16284924629164355,0.3459227383136749,1.3798816204071045,1721.9454345703125,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.552473545074463,1.196808099746704,1.1795921325683594,1.4382295350770693,0.34763948497854075,0.7413095235824585,5.0,0.7675707936286926,0.15077920869245368,0.1252735926234701,1.4020885120738635,1.4336373805999756,1.5769598484039307,1.5844166278839111,0.14840607420417348,1.4013179540634155,0.36610169491525424,-0.39687108993530273,-0.3368794918060303,0.17564187659981936
arc-c,random,111,32,,eaparcc_6_20260319_llama_arcc_LORA_R_32_RECONSTRUCT_TYPE_random_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/5fxoyyba,1.523458480834961,0.12935457663953842,0.13824094503104103,1.5312239157186973,0.3525423728813559,-0.23925340175628662,0.20007068431478436,0.0,1.4586509466171265,1.4585316249302456,5.0,0.7989346981048584,0.2873769024171889,1.7235291004180908,0.20493257439742651,1.3643639087677002,0.3467811346054077,1.7202961444854736,1.3270792961120605,1.4702115058898926,1.5153635740280151,1.6738604307174683,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.35593220591545105,0.3767695724964142,1886.332275390625,5.0,0.20364889595897415,1.657950520515442,1.5045661926269531,0.19017064571380615,0.19042358454001157,5.0,0.35254237055778503,0.1985811454799554,0.3467811346054077,1.459369421005249,1739.12353515625,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.694989800453186,1.3111693859100342,1.3424474000930786,1.5312239157186973,0.34678111587982835,0.7659542560577393,5.0,0.7989346981048584,0.20007068431478436,0.12486824450993893,1.4787115028342088,1.523458480834961,1.6847262382507324,1.7235291004180908,0.12935457663953842,1.4778244495391846,0.3525423728813559,-0.23925340175628662,-0.25608110427856445,0.2069017771359677
arc-c,svd,111,64,,eaparcc_7_20260319_llama_arcc_LORA_R_64_RECONSTRUCT_TYPE_svd_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/htbg9cf4,1.3116353750228882,0.39654762366061186,0.035656420615707646,1.3076711087613493,0.5491525423728814,-1.4341274499893188,0.24943168905831997,0.0,0.4148191213607788,0.414502443586077,5.0,0.657631516456604,0.8719785138764548,1.5610671043395996,0.09968052445831946,0.5791146159172058,0.6008583903312683,1.1282671689987183,0.42463070154190063,0.9942145347595215,1.0285866260528564,1.025489091873169,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.5491525530815125,36.1992301940918,4325.49267578125,5.0,0.031274556295042895,1.0563240051269531,1.0198332071304321,41.980018615722656,0.09388539104138388,5.0,0.5559322237968445,0.06189369531148492,0.6034334897994995,0.9944303631782532,4816.46435546875,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.1137186288833618,0.4528905749320984,0.5577863454818726,1.3076711087613493,0.6034334763948498,0.5864207148551941,5.0,0.657631516456604,0.24943168905831997,0.4708590872754881,1.2616732091887328,1.3116353750228882,1.4564703702926636,1.5610671043395996,0.39654762366061186,1.2591872215270996,0.5491525423728814,-1.4341274499893188,-1.7579801082611084,0.19728314158998336
arc-c,svd,111,32,,eaparcc_8_20260319_llama_arcc_LORA_R_32_RECONSTRUCT_TYPE_svd_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/sy94q5ff,1.3964314460754395,0.004804922388806633,0.016330706654324952,1.3957233944454708,0.2711864406779661,0.040499210357666016,0.021260244917061372,0.0,1.3816380500793457,1.3817010062081474,5.0,0.7544572353363037,0.25425246195165624,1.417691707611084,0.015599529798758232,1.1248903274536133,0.274678111076355,1.4062461853027344,1.1746903657913208,1.3994131088256836,1.3906466960906982,1.4493684768676758,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.28135591745376587,17.560911178588867,1771.189453125,5.0,0.04995539205012916,1.4262999296188354,1.3862136602401733,27.21538543701172,0.023561685469190952,5.0,0.2881355881690979,0.03002429686390791,0.2600858509540558,1.3962756395339966,1791.895263671875,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.4097753763198853,1.166214108467102,1.1216397285461426,1.3957233944454708,0.24892703862660945,0.7546468377113342,5.0,0.7544572353363037,0.021260244917061372,-0.010141240089476162,1.3966155534747535,1.3964314460754395,1.4401651620864868,1.417691707611084,0.004804922388806633,1.3961951732635498,0.2711864406779661,0.040499210357666016,0.1515599489212036,0.04396996620898595
arc-c,rnd0,111,32,,eaparcc_10_20260319_llama_arcc_LORA_R_32_RECONSTRUCT_TYPE_rnd0_SEED_111 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed111_lr0.001_cls_lr0.001_ep6,failed,gmum/bloraxs3/8oc7a1at,1.3880140781402588,-0.002772605360970955,0.029933610769287217,1.3879303803315033,0.2440677966101695,0.16767513751983643,0.036982012653754934,0.0,1.3882462978363037,1.388254874093192,5.0,0.7510000467300415,0.26141450313339304,1.4249961376190186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arc-c,dct,1337,64,,eaparcc_1_20260319_llama_arcc_LORA_R_64_RECONSTRUCT_TYPE_dct_SEED_1337 meta-llama/Llama-2-7b-chat-hf_arc-c_loraxs_seed1337_lr0.001_cls_lr0.001_ep6,finished,gmum/bloraxs3/megjx08o,1.3772993087768555,0.16410457378797882,0.06288256542215202,1.379652281065245,0.37966101694915255,-0.5210057497024536,0.12441984096826134,0.0,1.38327956199646,1.3828341892787388,5.0,0.7412415742874146,0.3133393017009848,1.5017191171646118,0.10466255545616149,1.0792051553726196,0.3596566617488861,1.4622559547424316,1.09331476688385,1.3341625928878784,1.3575934171676636,1.4529714584350586,checkpoint-5_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.3830508291721344,0.5403018593788147,1848.4224853515625,5.0,0.11880883904485745,1.4424163103103638,1.3495980501174927,0.3542620539665222,0.10587184742345648,5.0,0.37627118825912476,0.11578900206498323,0.3553647994995117,1.326627254486084,1719.3941650390625,checkpoint-5_LORAXS_DIAG_MC_st_2000_lr_0.1,1.4554698467254639,1.087051510810852,1.0791987180709839,1.379652281065245,0.3605150214592275,0.7232556343078613,5.0,0.7412415742874146,0.12441984096826134,0.1440782325825429,1.3548266769068933,1.3772993087768555,1.4903019666671753,1.5017191171646118,0.16410457378797882,1.3540571928024292,0.37966101694915255,-0.5210057497024536,-0.44851791858673096,0.13624472372521657
