task_name,reconstruction_type,seed,lora_r,start_time,name,state,id,map_metrics/eval_brier,map_metrics/lr,map_metrics/train_acc,map_metrics/train_nll,map_metrics/train_loss,map_metrics/eval_acc,map_metrics/eval_comb_calib_score,map_metrics/eval_comb_score,map_metrics/eval_nll,map_metrics/eval_mcc,map_metrics/epoch,map_metrics/eval_ece,map_metrics/train_ece,map_metrics/eval_loss,laplace_LORAXS_KRON/test_comb_score,laplace_LORAXS_KRON/test_nll,laplace_LORAXS_KRON/eval_nll,laplace_LORAXS_KRON/eval_acc,laplace_LORAXS_KRON/prior_precision,laplace_LORAXS_KRON/eval_ece,laplace_LORAXS_KRON/epoch,laplace_LORAXS_KRON/test_ece,laplace_LORAXS_KRON/nl_marglik,laplace_LORAXS_KRON/test_comb_calib_score,laplace_LORAXS_KRON/eval_comb_score,laplace_LORAXS_KRON/eval_comb_calib_score,laplace_LORAXS_KRON/test_acc,laplace_LORAXS_KRON/name,laplace_LORAXS_DIAG/test_comb_calib_score,laplace_LORAXS_DIAG/test_ece,laplace_LORAXS_DIAG/nl_marglik,laplace_LORAXS_DIAG/eval_nll,laplace_LORAXS_DIAG/prior_precision,laplace_LORAXS_DIAG/name,laplace_LORAXS_DIAG/epoch,laplace_LORAXS_DIAG/eval_ece,laplace_LORAXS_DIAG/test_acc,laplace_LORAXS_DIAG/test_comb_score,laplace_LORAXS_DIAG/eval_comb_score,laplace_LORAXS_DIAG/eval_acc,laplace_LORAXS_DIAG/test_nll,laplace_LORAXS_DIAG/eval_comb_calib_score,laplace/base_test_brier,laplace/base_eval_mcc,laplace/base_test_mcc,laplace/base_test_nll,laplace/base_epoch,laplace/base_eval_loss,laplace/base_eval_acc,laplace/base_test_loss,laplace/base_eval_comb_score,laplace/base_test_comb_score,laplace/base_test_comb_calib_score,laplace/base_test_ece,laplace/base_eval_brier,laplace/base_eval_comb_calib_score,laplace/base_eval_ece,laplace/base_eval_nll,laplace/base_test_acc
cola,random-1/2_svd,3407,8,2026-01-15T08:14:57.646335Z,eap_8_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_random-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3d4hylka,0.2857213318347931,0.0017158544955387784,0.8246988656297509,0.40672218799591064,0.4059097517782183,0.8024928092042186,0.5273646712303162,-3.561479091644287,0.4509849548339844,0.5072676775530786,20.0,0.07637971173882599,0.02914793728917764,0.4547908870318464,-0.3276389539241791,0.4235600531101227,0.4233933985233307,0.8024927973747253,23.760787963867188,0.05317716241911525,20.0,0.05129377993961309,4998.83349609375,0.47485384345054626,-0.32592225074768066,0.4765705466270447,0.8024927973747253,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.4682658612728119,0.04886258688549068,4929.3515625,0.4194655418395996,24.71985626220703,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.049564990192680326,0.8015340566635132,-0.3332681953907013,-0.33346226811408997,0.8024927973747253,0.4194032847881317,0.4690305292606354,0.2857213318347931,0.5072676775530786,0.5072676775530786,0.4509849548339844,20.0,0.4547908870318464,0.8024928092042186,0.4547908870318464,-3.561479091644287,-3.561479091644287,0.5273646712303162,0.07637971173882599,0.2857213318347931,0.5273646712303162,0.07637971173882599,0.4509849548339844,0.8024928092042186
cola,cca,3407,8,2026-01-15T08:14:57.624231Z,eap_3_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_cca_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3m387myh,0.24028852581977844,0.0017158544955387784,0.8477371067711379,0.35481664538383484,0.3539802779012652,0.8456375838926175,0.47249454259872437,-3.8245108127593994,0.40367719531059265,0.6231873551222902,20.0,0.06881733891605074,0.022428603545083955,0.40751184943978114,-0.41949576139450073,0.37598490715026855,0.37604820728302,0.8456376194953918,68.15120697021484,0.04864523926265859,20.0,0.0501569506077387,4843.69140625,0.4261418581008911,-0.4209441840648651,0.42469343543052673,0.8456376194953918,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.41506439447402954,0.04445247985029723,4524.49853515625,0.3706042766571045,65.1562271118164,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.04472816299043475,0.8456376194953918,-0.4305732250213623,-0.4303051829338074,0.8456376194953918,0.37061190605163574,0.4153324365615845,0.24028852581977844,0.6231873551222902,0.6231873551222902,0.40367719531059265,20.0,0.40751184943978114,0.8456375838926175,0.40751184943978114,-3.8245108127593994,-3.8245108127593994,0.47249454259872437,0.06881733891605074,0.24028852581977844,0.47249454259872437,0.06881733891605074,0.40367719531059265,0.8456375838926175
cola,dct,3407,8,2026-01-15T08:14:57.607006Z,eap_1_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/3u5v63gu,0.3308803141117096,0.0017158544955387784,0.7861068880832651,0.47945040464401245,0.47885080593735424,0.7861936720997124,0.667806088924408,-3.383859634399414,0.5471086502075195,0.4615876015976496,20.0,0.12069743645956968,0.03146067000651078,0.5505439816540434,-0.13921904563903809,0.5332479476928711,0.533255934715271,0.7861936688423157,2.1122095584869385,0.11178448556253573,20.0,0.11372666582393738,4673.33837890625,0.6469746232032776,-0.1411532461643219,0.6450403928756714,0.7861936688423157,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.6261362433433533,0.10663413158542015,5190.58203125,0.5195434093475342,4.992543697357178,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.10630716902069026,0.7871524691581726,-0.16101622581481934,-0.16034308075904846,0.7861936688423157,0.5195021033287048,0.6258505582809448,0.3308803141117096,0.4615876015976496,0.4615876015976496,0.5471086502075195,20.0,0.5505439816540434,0.7861936720997124,0.5505439816540434,-3.383859634399414,-3.383859634399414,0.667806088924408,0.12069743645956968,0.3308803141117096,0.667806088924408,0.12069743645956968,0.5471086502075195,0.7861936720997124
cola,finder-1/2_svd,3407,8,2026-01-15T08:14:57.610148Z,eap_6_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_finder-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/64k9y24j,0.26018235087394714,0.0017158544955387784,0.8317155888200211,0.38639676570892334,0.38558441845338737,0.8235858101629914,0.48644405603408813,-3.697855234146118,0.4200737178325653,0.5696227147853862,20.0,0.06637032025726736,0.02716419363200295,0.4236262954828393,-0.3845985531806946,0.39812323451042175,0.3982066512107849,0.8235858082771301,28.850318908691406,0.04089797871796305,20.0,0.04182282553080287,4609.919921875,0.4399460554122925,-0.38448119163513184,0.4391046166419983,0.8245446085929871,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.42826491594314575,0.03289096656033085,4690.18359375,0.39523845911026,32.82279586791992,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.03320763752307324,0.8245446085929871,-0.3962796926498413,-0.3951397240161896,0.8235858082771301,0.3953739404678345,0.42844608426094055,0.26018235087394714,0.5696227147853862,0.5696227147853862,0.4200737178325653,20.0,0.4236262954828393,0.8235858101629914,0.4236262954828393,-3.697855234146118,-3.697855234146118,0.48644405603408813,0.06637032025726736,0.26018235087394714,0.48644405603408813,0.06637032025726736,0.4200737178325653,0.8235858101629914
cola,dct-1/2_svd,3407,8,2026-01-15T08:14:57.607134Z,eap_2_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/h7djjnr4,0.28855448961257935,0.0017158544955387784,0.8249327564027599,0.39687514305114746,0.39598792346555794,0.8159156279961649,0.5962657928466797,-3.5873684883117676,0.49220940470695496,0.5443521169935567,20.0,0.10405637268137727,0.027991950435257002,0.4966124323488192,-0.2882404029369354,0.4435998201370239,0.44360271096229553,0.8159156441688538,28.405643463134766,0.08409412338086766,20.0,0.08407542889550229,5073.34423828125,0.5276752710342407,-0.28821879625320435,0.5276968479156494,0.8159156441688538,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.51041179895401,0.0761473061711539,5089.884765625,0.43433836102485657,32.04888153076172,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.07824379388575128,0.8159156441688538,-0.30550384521484375,-0.30333349108695984,0.8159156441688538,0.43426448106765747,0.5125821828842163,0.28855448961257935,0.5443521169935567,0.5443521169935567,0.49220940470695496,20.0,0.4966124323488192,0.8159156279961649,0.4966124323488192,-3.5873684883117676,-3.5873684883117676,0.5962657928466797,0.10405637268137727,0.28855448961257935,0.5962657928466797,0.10405637268137727,0.49220940470695496,0.8159156279961649
cola,random,3407,8,2026-01-15T08:14:57.607778Z,eap_7_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_random_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/k67fetwl,0.4354836046695709,0.0017158544955387784,0.7381592796164191,0.547118604183197,0.5461441723268423,0.7075743048897412,0.8476489782333374,-2.876819610595703,0.6610521078109741,0.18022057570093403,20.0,0.18659685649270635,0.04279294199113218,0.6625754087025882,0.13275812566280365,0.6560479998588562,0.6561186909675598,0.7075743079185486,0.617982804775238,0.1843999548532133,20.0,0.18428443479400813,5468.33984375,0.8403324484825134,0.13294433057308197,0.8405186533927917,0.7075743079185486,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.837979257106781,0.18435124800052077,5494.046875,0.653666079044342,0.753238320350647,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.18331450181062248,0.7075743079185486,0.13040493428707123,0.12940627336502075,0.7075743079185486,0.6536279916763306,0.8369805812835693,0.4354836046695709,0.18022057570093403,0.18022057570093403,0.6610521078109741,20.0,0.6625754087025882,0.7075743048897412,0.6625754087025882,-2.876819610595703,-2.876819610595703,0.8476489782333374,0.18659685649270635,0.4354836046695709,0.8476489782333374,0.18659685649270635,0.6610521078109741,0.7075743048897412
cola,svd,3407,8,2026-01-15T08:14:57.612671Z,eap_9_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/my2631ul,0.29018446803092957,0.0017158544955387784,0.8208396678751023,0.3993459939956665,0.3985037447801277,0.8159156279961649,0.6146546006202698,-3.5714218616485596,0.5081560611724854,0.5442924840114824,20.0,0.10649851756036452,0.028896500570511154,0.5144006860165196,-0.28765782713890076,0.4481421113014221,0.4481622278690338,0.8159156441688538,53.068138122558594,0.08240728721751234,20.0,0.08011570375694868,5625.857421875,0.5282578468322754,-0.285346120595932,0.5305694937705994,0.8159156441688538,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.5168774127960205,0.07568016262548197,5868.6904296875,0.44129666686058044,62.29114532470703,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.07483435385750672,0.8159156441688538,-0.29903820157051086,-0.2997846305370331,0.8159156441688538,0.4411972761154175,0.5161310434341431,0.29018446803092957,0.5442924840114824,0.5442924840114824,0.5081560611724854,20.0,0.5144006860165196,0.8159156279961649,0.5144006860165196,-3.5714218616485596,-3.5714218616485596,0.6146546006202698,0.10649851756036452,0.29018446803092957,0.6146546006202698,0.10649851756036452,0.5081560611724854,0.8159156279961649
cola,cca-1/2_svd,3407,8,2026-01-15T08:14:57.630382Z,eap_4_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_cca-1_2_svd_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/opb8f1p6,0.4402962923049927,0.0017158544955387784,0.7017892644135189,0.6201529502868652,0.61981201171875,0.6912751677852349,0.7180373668670654,-2.8204522132873535,0.6359235048294067,0.0,20.0,0.08211386203765869,0.0542879681491863,0.6360671065235866,0.023444771766662598,0.6348960995674133,0.6349038481712341,0.6912751793861389,2.739412307739258,0.07982832193374634,20.0,0.07982385158538818,5343.67138671875,0.7147199511528015,0.023456990718841553,0.7147321701049805,0.6912751793861389,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.7119066715240479,0.0778840184211731,5429.10009765625,0.6340190768241882,7.850879192352295,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.0778774619102478,0.6912751793861389,0.020631492137908936,0.02062135934829712,0.6912751793861389,0.6340226531028748,0.711896538734436,0.4402962923049927,0.0,0.0,0.6359235048294067,20.0,0.6360671065235866,0.6912751677852349,0.6360671065235866,-2.8204522132873535,-2.8204522132873535,0.7180373668670654,0.08211386203765869,0.4402962923049927,0.7180373668670654,0.08211386203765869,0.6359235048294067,0.6912751677852349
cola,finder,3407,8,2026-01-15T08:14:57.607247Z,eap_5_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_finder_SEED_3407 roberta-large_cola_loraxs_seed3407_lr0.001_cls_lr0.005_ep31,failed,gmum/bloraxs2/q5ol3cez,0.2774791419506073,0.0017158544955387784,0.7890305227458777,0.4713710844516754,0.4724778417331069,0.8178331735378715,0.5075138211250305,-3.6449356079101562,0.44423016905784607,0.550612081256011,20.0,0.06328367206874311,0.03499832891216196,0.4475295671069895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cola,dct,111,8,2026-01-15T08:15:50.663360Z,eap2_1_20260115_roberta_cola_CLASSIFIER_WEIGHT_DECAY_0_01_CLS_LEARNING_RATE_0_005_LEARNING_RATE_0_001_LORA_ALPHA_16_LORA_DROPOUT_0_0_LORA_R_8_LORA_WEIGHT_DECAY_0_01_RECONSTRUCT_TYPE_dct_SEED_111 roberta-large_cola_loraxs_seed111_lr0.001_cls_lr0.005_ep31,finished,gmum/bloraxs2/knc9j3rg,0.3082534372806549,0.0017158544955387784,0.7793240556660039,0.49355363845825195,0.49357553738266674,0.7919463087248322,0.5597659349441528,-3.477550506591797,0.48218101263046265,0.47826007446633384,20.0,0.07758494442969932,0.04419259456371985,0.48484324680939883,-0.24076740443706512,0.4748538136482239,0.4748291075229645,0.791946291923523,1.6705355644226074,0.07651601507473998,20.0,0.07632507210952781,4101.421875,0.5511788725852966,-0.24060116708278656,0.5513451099395752,0.791946291923523,checkpoint-20_LORAXS_KRON_MC_st_2000_lr_0.1_backend_CurvlinopsGGN,0.5343018770217896,0.06556077917264498,4402.8515625,0.4687621295452118,3.403386354446411,checkpoint-20_LORAXS_DIAG_MC_st_2000_lr_0.1,20.0,0.06479714855137401,0.791946291923523,-0.2576444149017334,-0.25838702917099,0.791946291923523,0.4687410891056061,0.533559262752533,0.3082534372806549,0.47826007446633384,0.47826007446633384,0.48218101263046265,20.0,0.48484324680939883,0.7919463087248322,0.48484324680939883,-3.477550506591797,-3.477550506591797,0.5597659349441528,0.07758494442969932,0.3082534372806549,0.5597659349441528,0.07758494442969932,0.48218101263046265,0.7919463087248322
